firstName|lastName|email|contact|address|city|state|typestore|size|working employees|service,,,,,
Paul, Tanya, Kiona, Seth|Gilliam|et.malesuada@sociis.org|+91 6192081297|6071 Varius. Rd.|Ganganagar|RJ|Departmental|50|15|Delivery ,,
Peter, Larissa, Petra, Jonas|Palmer|nec@leoMorbineque.co.uk|+91 1677471733|P.O. Box 238, 1629 Pretium Street|Bokaro Steel City|JH|Departmental|50|37|Delivery ,
Cathleen, Bo, Cassady, Melvin|Doyle|mauris.sit.amet@ultricies.edu|+91 8109477270|P.O. Box 139, 4766 At Street|Hubli|KA|SuperMarket|50|5|Delivery ,
Aurelia, Shoshana, Irma, Lana|Good|imperdiet.nec@Nulla.ca|+91 0596131848|P.O. Box 109, 6854 Pede. Avenue|Chapra|Bihar|Departmental|50|32|Delivery ,
Macaulay, Dolan, Sara, Michelle|Christian|ornare.lectus.ante@imperdiet.ca|+91 3849390046|P.O. Box 380, 4150 Quisque Road|Mandya|KA|SuperMarket|50|1|Delivery ,
Gisela, Signe, Linus, Rogan|Carroll|ligula.Nullam.enim@egestas.net|+91 2505755920|483-3691 Mollis Rd.|Hazaribag|JH|General|150|36|Delivery ,,
Quinn, Lane, Lillith, Keane|Caldwell|vitae.diam@magnisdisparturient.edu|+91 8568662976|928-7300 Nec, Rd.|Bharuch|Gujarat|Departmental|50|6|Delivery ,
Melvin, Pandora, Skyler, Mona|Butler|laoreet@nullavulputatedui.org|+91 7992413917|P.O. Box 648, 5995 Eu Street|Meerut|UP|Departmental|50|12|Delivery ,
Joel, Raphael, Tiger, Lacota|Jones|ut.eros@Phasellusin.edu|+91 3915521848|Ap #757-9090 Malesuada St.|Jaranwala|Punjab|Departmental|150|41|Delivery ,,
Tarik, Cody, Leilani, Amber|Glass|at.iaculis@mitempor.com|+91 8641537187|Ap #180-8572 Erat. Rd.|Akola|Maharastra|Departmental|50|16|Delivery ,,
Yael, Phyllis, Zenaida, Kyla|Bond|in.hendrerit@quamCurabiturvel.edu|+91 1369205193|Ap #696-8958 Vestibulum Rd.|Lalbahadur Nagar|AP|Departmental|50|34|Delivery ,,
Reuben, Kelly, Emerson, Jeremy|Valentine|Aenean@velfaucibus.net|+91 2188212918|573-5527 Sit Ave|Alwar|RJ|General|100|2|Delivery ,,
Warren, Calvin, Todd, Anastasia|Compton|feugiat@arcu.org|+91 3691296855|Ap #291-5923 Nulla Rd.|Katihar|Bihar|Departmental|50|37|Delivery ,,
Jamal, Noelle, Montana, Upton|Yang|eros.Proin@tellusPhaselluselit.edu|+91 6862234807|P.O. Box 427, 2560 Cursus. Ave|Satara|Maharastra|Departmental|50|19|Delivery ,
Lysandra, Morgan, Ross, Yvette|Chang|dui@turpisegestasFusce.edu|+91 4417733013|P.O. Box 412, 4331 Sed Street|Saharanpur|UP|Departmental|50|5|Delivery ,
Neville, Quon, Burton, Eugenia|Hansen|egestas.hendrerit@est.edu|+91 5541061879|Ap #624-9975 Dignissim Ave|Gaya|BR|Departmental|150|27|Delivery ,,
Adrian, Quon, Cleo, Maxwell|Cardenas|turpis.Aliquam.adipiscing@necenim.edu|+91 6853738735|458-3351 In Rd.|Ganganagar|Rajasthan|Departmental|100|31|Delivery ,,
Grady, Grady, Felix, Florence|Patterson|rutrum.justo.Praesent@sodalesnisi.co.uk|+91 0742357587|Ap #260-9433 Suspendisse Av.|Pallavaram|TN|Departmental|50|21|Delivery ,,
Zephania, Ulric, Gage, Hall|Freeman|ante.blandit@ipsum.ca|+91 7913018934|P.O. Box 103, 1598 Auctor, Ave|Mira Bhayandar|MH|Departmental|150|8|Delivery 
Timothy, Tanner, Tanya, Kimberly|Knight|purus@ametfaucibus.co.uk|+91 7540017493|Ap #290-8968 Egestas Avenue|Allahabad|UP|Departmental|50|30|Delivery ,,
Buffy, Candice, Denton, Keely|Dickerson|dis.parturient@magnaDuis.ca|+91 8068948354|6914 Rhoncus. St.|Banda|Uttar Pradesh|Departmental|50|23|Delivery ,,
Larissa, Darryl, Mechelle, Lareina|Moran|enim.gravida@eget.edu|+91 6087290045|429 Erat, Avenue|Secunderabad|Andhra Pradesh|Departmental|50|31|Delivery ,
Alfreda, Wanda, Rhona, Katelyn|Crawford|in@nuncid.co.uk|+91 8113919743|748-1602 Ornare St.|Rajkot|GJ|Departmental|50|25|Delivery ,,
Griffith, Rooney, Azalia, Donovan|Blackwell|nec.luctus.felis@Sedmolestie.co.uk|+91 2567016102|651-8909 Libero Av.|Eluru|Andhra Pradesh|SuperMarket|150|21|Delivery ,,
Patience, Sebastian, Maris, Madeline|Roberts|est@pretiumet.com|+91 2157134500|1972 Ultrices Rd.|Nashik|Maharastra|SuperMarket|50|45|Delivery ,,
Noel, Lewis, Tanek, Upton|Johns|vel.faucibus@et.com|+91 1118581536|Ap #250-1382 Dictum St.|Bettiah|Bihar|Departmental|50|10|Delivery ,,
Aladdin, Ishmael, Zeph, Gloria|Kane|mauris.elit.dictum@necmetusfacilisis.net|+91 4981559560|370-6734 Tincidunt Avenue|Katihar|BR|Departmental|150|43|Delivery ,,
Adria, Sacha, Kelsey, Jaime|Wilkins|nibh@utmolestie.edu|+91 9891863740|Ap #606-3334 Lorem, Street|Timkur|KA|Departmental|50|31|Delivery ,
Cleo, Colleen, Amethyst, Yeo|Lindsay|eget@aliquamerosturpis.net|+91 4355851308|P.O. Box 469, 2725 Mauris Street|Sagar|Madhya Pradesh|Departmental|150|49|Delivery ,
Victoria, Hyatt, Abigail, Charde|Wilcox|ac.eleifend.vitae@Proin.com|+91 2369547277|Ap #304-2367 Orci Rd.|Hugli-Chinsurah|West Bengal|General|50|6|Delivery ,,
Linda, Lila, Thomas, Wesley|Talley|id.risus.quis@ipsum.co.uk|+91 5860525392|Ap #283-1022 Integer St.|Korba|CT|Departmental|50|6|Delivery ,,
Leo, Angela, Lance, Jade|Collier|volutpat@hendrerit.edu|+91 4302630857|966-3217 Vitae Ave|Vellore|Tamil Nadu|General|50|33|Delivery ,,
Keefe, Jarrod, Pamela, Nigel|Howe|ut.ipsum@magna.org|+91 5359482689|5250 Et Street|Allappuzha|Kerala|Departmental|50|42|Delivery ,,
Curran, Nathan, Macaulay, Sage|Cobb|lobortis.quam@sagittis.net|+91 8516752191|837-7945 Quis, Street|Delhi|DL|SuperMarket|50|40|Delivery ,
Baxter, Ciaran, Josephine, Teagan|Pearson|nec.tellus@risusQuisquelibero.org|+91 1899935436|571-5108 Bibendum Avenue|Allappuzha|KL|General|50|12|Delivery ,,
Hyatt, Isaiah, Faith, Ariana|Puckett|montes.nascetur@diamPellentesque.ca|+91 4051898854|5634 At Rd.|Dindigul|TN|SuperMarket|50|41|Delivery ,,
Eden, Blake, Arthur, Merrill|Prince|Cras.vulputate@scelerisquemollisPhasellus.net|+91 0987443049|2411 Volutpat Rd.|Darbhanga|BR|Departmental|50|5|Delivery ,,
Deborah, Tucker, Melvin, Asher|Robbins|dolor.Quisque.tincidunt@orcilobortis.ca|+91 8318490866|771-4994 Inceptos Ave|Raichur|KA|General|50|1|Delivery ,,
Dylan, Germane, Adena, Elton|Hoffman|eu@Nulla.net|+91 7828927053|824-8679 Venenatis Rd.|Kollam|Kerala|Departmental|50|35|Delivery ,,
Pascale, Darrel, Regan, Odessa|Pruitt|Nullam@tristiqueaceleifend.net|+91 2161422559|7612 Vitae Ave|Burhanpur|Madhya Pradesh|Departmental|50|28|Delivery ,,
Callum, Boris, Keefe, Mira|Parrish|Nunc.laoreet.lectus@Pellentesquehabitant.com|+91 9416012836|Ap #343-8214 Tellus St.|Ujjain|MP|Departmental|250|41|Delivery ,,
Travis, Medge, Amena, Uma|Mullins|malesuada@feugiatmetus.co.uk|+91 7670588204|Ap #758-8430 Ultrices Ave|Eluru|Andhra Pradesh|General|50|1|Delivery ,,
Uma, Stone, Alexa, Rebecca|Cote|ultricies@nuncrisus.org|+91 1421432649|P.O. Box 714, 1075 Dignissim Ave|Hindupur|AP|Departmental|50|20|Delivery ,
Ivy, Victor, William, Iona|Howard|lobortis@augue.ca|+91 2255379885|Ap #276-3992 Nascetur Street|Katihar|BR|Departmental|50|8|Delivery ,,
Aurelia, Heidi, Daphne, Harper|Vaughn|aliquam@ullamcorper.edu|+91 9410430076|Ap #883-7895 Molestie Rd.|Bihar Sharif|BR|Departmental|50|47|Delivery ,,
